,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.74393522515649,0.04100848523604261,-0.2786553530186098,-0.019921814772055457,0.7736944777242567,0.031932106937676674,-0.29075719074976436,-0.00011415587982281446
1,ibi,0.6826617478576771,0.06346757478564702,-0.24870990028580398,0.002362243326728814,0.6526893435403971,0.07636128910988449,-0.2315182811868206,1.6024105071497391e-06
2,lf,0.7895567884542061,0.027571919222296293,-0.29657077437027146,0.00040813696217214775,0.7040860788330321,0.055027665159458006,-0.2599631131207225,3.5515263629937843e-07
3,hf,0.34211184645472265,0.29707150258168213,0.06276200344224292,0.0013462454799774096,0.40092375225080745,0.24110926202755256,-0.011854317296596584,9.05958815818402e-07
4,lf/hf,0.37704712193262635,0.26287188891606406,0.01716251855475215,-0.26339868628864144,0.3277340316986076,0.3120153431521373,0.08268712420284974,-0.05159776508085023
5,lf_diff,0.5843911975872677,0.11066267556939935,-0.18578309924080072,-0.0008401965524362696,0.4966736818512501,0.1655111525046844,-0.1126517966604208,8.9856391681013e-07
6,hf_diff,0.10911035571359048,0.6295990635546853,0.5061320847395805,0.007132649621074835,0.2855164162737989,0.35910617781671383,0.14547490375561845,3.7723267207417865e-05
7,lfhf_diff,0.3853158479023701,0.25519259114778337,0.006923454863711154,-0.26477017682606685,0.43366839392780976,0.21323783207505376,-0.049016223899928324,0.053060711231282504
8,FC3,0.3145220638896371,0.3262220847995907,0.10162944639945426,-5.4692425080964036,0.3333635199061089,0.3061013310104953,0.0748017746806604,-5.435950184481763
9,FC4,0.24662850043006335,0.4072195172386406,0.2096260229848541,-5.0214776191978805,0.28877461667895427,0.35529102291882075,0.14038803055842775,-4.62083578930844
10,FCz,0.6696413964192729,0.06891149597461987,-0.24145133870050683,-2.200551602936341,0.7152675315903232,0.050875403106996786,-0.26549946252400414,-1.6151620784197425
11,mean_3ch,0.37215403888931264,0.2674890813718268,0.023318775162435745,-4.663940546906132,0.40574446157518534,0.23686582716895943,-0.017512230441387278,-4.12990174185672
12,concentration_FC3,0.4071741636497732,0.235616820278729,-0.019177572961694533,3.058622179711546,0.5250410533023359,0.1463684581005521,-0.13817538919926386,8.946138870395782
13,concentration_FC4,0.552738588546207,0.12899340091411837,-0.16134213211450876,2.1809854557594175,0.4446298409689221,0.20439274936402518,-0.060809667514633015,6.852068842333381
14,concentration_FCz,0.5222682146898064,0.1481785458616245,-0.13576193885116727,3.3603784426556444,0.700426537434727,0.05642408851681591,-0.2581012153109121,9.934702739927111
15,concentration_mean,0.4430510815608712,0.20565213433489282,-0.05913048755347616,3.4223262846317013,0.4412097460968979,0.20712713519153858,-0.05716381974461515,13.128432238347457
