,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.07110706776803435,0.11986965194984522,0.0860184847171469,-0.013361555940106788,0.04754677574403387,0.25012635926978344,0.19013646801136608,-0.00041673456965276223
1,ibi,0.3050270759333387,0.040408481989189116,0.0035011159118502055,0.0012157403939684786,0.0028582913414932536,0.332384101779316,0.2789748299216612,-1.7481739993313134e-05
2,lf,0.12413932549461934,0.08852029450947863,0.05346338275984308,0.0008890516703135311,0.8259992893355934,0.09031608844353922,0.01754137551902224,-3.8694183060544895e-07
3,hf,0.25847041554818506,0.04882957319499137,0.012246095240952548,0.00037428837797075763,0.5038859781179903,0.06601234047580684,-0.008706672286128647,-2.809897097149375e-07
4,min_lf,0.29550094156197954,0.04199850671511485,0.005152295434926901,0.0007003304585010835,0.7370296251804245,0.046396370408950394,-0.029891919958333624,-6.016652028404628e-07
5,min_hf,0.21163924670877227,0.05933252103906028,0.023153002617485652,0.0004211812801248767,0.36981248820995727,0.08970381892498291,0.01688012443898146,-4.1622005732883434e-07
6,lf/hf,0.3955060503220814,0.027908065705185003,-0.00948008561384639,-0.07941177812927093,0.008841772438425028,0.26500386773767415,0.20620417715668804,-0.10902837870652055
7,kubios_lf,0.4345892598204033,0.023652511417340705,-0.013899315066607798,0.0005440325653372495,0.48114259247504165,0.04322576902832698,-0.03331616944940685,-2.04480290520608e-06
8,kubios_hf,0.17539360655109038,0.0694567128116893,0.033666586381369545,0.0008340461698919644,0.7450526190294641,0.07346317057788809,-0.0006597757758808331,-1.0808879868526466e-06
9,kubios_lf/hf,0.17186531942618646,0.07056378014212805,0.034816233224517545,-0.12612419029829425,0.07502282067732867,0.1833065189426143,0.11797104045802342,-0.08049005360972741
10,sdsd,0.8524995738975822,0.0013545049165124556,-0.037054937202083194,0.0038667316470405166,0.9603480573698904,0.0014552304368575797,-0.0784283511281938,-9.704128994635769e-05
11,rmssd,0.04007376719113038,0.15228296168820876,0.1196784602146782,-0.006865716650120375,0.19086820317582714,0.20944367040819578,0.14619916404085143,-6.960889188298853e-05
12,pnn20,0.6701685633421063,0.007087239681284996,-0.03110171263866568,-0.29045444183110414,0.09350514269774349,0.11474656166166763,0.04392628659460096,-3.546072171246908
13,pnn50,0.16482434627481027,0.0728489576942174,0.037189302220917986,-0.9514455125806331,0.04181859755885317,0.21701208915758197,0.1543730562901885,-3.8782025071525883
14,concentration_FC3,0.3452524571170672,0.034322946730967474,-0.0028184783947646785,-0.7688569359838144,0.6749441151898801,0.0412287151559626,-0.03547298763156048,1.6358232164128594
15,concentration_FC4,0.20674878059830468,0.06058063937168634,0.024449125501366464,-0.954526168036173,0.27998562706911306,0.10427219605252158,0.0326139717367232,-3.1840152082593
16,concentration_FCz,0.5626650684634771,0.013052856097438337,-0.024906649437275608,-0.47242339917667486,0.28938546894998113,0.05723773583461078,-0.018183245298620365,3.175982261840378
17,concentration_mean,0.325210585698418,0.037235325551730813,0.00020591499602806707,-0.8229540135360152,0.9356666925991678,0.037491266750173,-0.039509431909813264,0.2942347640311933
18,FC3,0.8898427445020309,0.0007518516408656639,-0.03768076944987042,0.12245701943019505,0.4614930036904614,0.022620448252062997,-0.05556991588777205,-3.486621355444541
19,FC4,0.9949814225572857,1.5511826566561027e-06,-0.038459927618010425,0.004751142007293652,0.29756376473580826,0.04331205051437037,-0.0332229854444801,-3.6481487822990104
20,FCz,0.6595573449136463,0.007579835680305513,-0.030590170639682723,-0.3761797521950565,0.6526877489448357,0.015748017852366125,-0.0629921407194447,-1.8876585934393582
21,mean_3ch,0.9202929872050991,0.00039251150030417126,-0.03805393036506888,-0.08605632542692199,0.4290400303311379,0.025580672379423963,-0.052372873830222266,-3.435995787248004
22,max_concentration_FC3,0.4724921207606767,0.02003292122266309,-0.017658120268773114,-0.5689480614049454,0.23901907242138828,0.07393015992307073,-0.0001554272830837089,3.801954560951618
23,max_concentration_FC4,0.43502485434500615,0.023608229684821347,-0.013945299942685674,-0.584973449781339,0.9694660256206377,0.02366660823322697,-0.054440063108115,0.10147505554338565
24,max_concentration_FCz,0.8735136120777928,0.0009931848678490507,-0.037430154175695396,0.11042343232554108,0.19766267996551423,0.0664016456945351,-0.008286222649902086,2.465415237273784
25,max_concentration_mean,0.649256277626221,0.00807687606195684,-0.030074013320275705,-0.36396584817142097,0.36344668400163427,0.04095080985767563,-0.035773125353710356,2.4080726483344126
26,lf_diff,0.7375133460638964,0.004394312446553861,-0.03389821399780946,-6.431228612851266e-05,0.028625907020881563,0.18111164845016958,0.11560058032618314,3.0979752570517007e-07
27,hf_diff,0.2719788555668154,0.046208675689620726,0.009524393985375301,-0.000234669289915705,0.7217933778683853,0.05113047484240241,-0.024779087170205383,-5.1906284673335513e-08
28,lfhf_diff,0.5772267978624924,0.012109361832221222,-0.02588643194346263,0.0152455578802759,0.7575012978874596,0.015945175271496193,-0.06277921070678416,0.0010160493173834917
29,hr_mad,0.05954595508544485,0.1299084141038469,0.09644335310784091,-0.013956822974880607,0.044055508888496686,0.26255442284079034,0.20355877666805355,-0.00042196673113255713
30,sd1,0.04007242026376335,0.15228485596833508,0.11968042735173245,-0.009709658343935262,0.19087516674739985,0.2094437046858637,0.1461992010607327,-0.000139217939199889
31,sd2,0.6984526238637287,0.005867281712964023,-0.03236859206730669,0.0020422621484950873,0.008632681230887947,0.24964848048010035,0.18962035891850837,-0.00024403416110660965
32,s,0.5229552290151831,0.01587160480520655,-0.021979487317670188,-2.336733738608754e-05,0.3177966724746567,0.055143314137056976,-0.02044522073197852,-6.568171053636735e-09
33,sd1/sd2,0.01966333023422676,0.19206892880752147,0.16099465683857994,-0.1819253195905988,0.5978150851646571,0.2011925024338197,0.1372879026285252,-0.0603713855284268
34,breathingrate,0.7256265677510153,0.004817402742019139,-0.03345885099867241,0.5069421069225406,0.16434859918644987,0.08032109135134868,0.006746778659456498,-37.397129597967705
35,lf_nu,0.9518894286020625,0.0001427161347776762,-0.038313333244654135,0.0004527252100378718,0.3250579990276986,0.038885663631788914,-0.038003483277668115,-0.00045594137904082636
36,hf_nu,0.9518894286020619,0.0001427161347776762,-0.038313333244654135,-0.000452725210037877,0.32505799902767674,0.038885663631788914,-0.038003483277668115,-0.0004559413790408465
